node,degree,betweenness,closeness,eigenvector,pagerank,clustering
15519,0.0044,1.3139748443210166e-06,0.0018041488566566954,0.017052555931766047,0.0004173324482320153,0.4152046783625731
15521,0.029800000000000004,0.00013569779140978344,0.01174205133930939,0.08311691675375492,0.005337850986843132,0.2189802534630121
15522,0.0038,1.730924922634089e-06,0.0016033665244477024,0.010298345585895857,0.00014671036174537387,0.6838235294117647
15523,0.004600000000000001,3.4266763084764956e-06,0.002205955063729892,0.01816583247300289,2.597624856270648e-05,0.4782608695652174
15527,0.0038,7.41169939646606e-07,0.0017037476313173094,0.013479355667231022,9.936758889912266e-05,0.5947712418300654
15528,0.0032,2.269977892250303e-06,0.0012020431607797644,0.00553534137304334,0.00016785886856192107,0.47435897435897434
15535,0.0038,4.981610283110313e-07,0.0018041488566566954,0.013940188883285624,0.00018950881012764565,0.6023391812865497
15539,0.0006000000000000001,0.0,0.00030024016811047716,0.007519048057024021,0.0,0.6666666666666666
15541,0.0064,0.0,0.0025075212596070706,0.01684874671671203,0.0005272387441075461,0.24923076923076923
15542,0.005600000000000001,3.7293951393802175e-06,0.002205955063729892,0.015190960034776907,0.0008167597060115215,0.2015810276679842
15544,0.0034000000000000002,1.0863035369443634e-06,0.0014026646419362798,0.010009327247517668,0.0003490545211728037,0.29523809523809524
15552,0.0014,0.0,0.0005005004403684232,0.0028452916557342722,0.00012096548038763083,0.4666666666666667
15555,0.0036,6.316571114825085e-07,0.0013023438542085763,0.011722894376980882,0.0002641447265840051,0.2857142857142857
15563,0.001,0.0,0.0004003602842119758,0.004559579996458537,3.783362745268489e-05,0.6
15567,0.0078000000000000005,1.1499908923248536e-05,0.003312585572165627,0.028588369165048675,0.0017288278497603134,0.43672014260249553
15568,0.004000000000000001,5.548854237770008e-06,0.0017037476313173094,0.008368643073467574,0.00018145861269636327,0.24183006535947713
15572,0.003,0.0,0.0011017625556131172,0.00843783594032404,0.0003471923348720862,0.3939393939393939
15574,0.006000000000000001,0.0,0.0024069790354728227,0.021514389077128486,0.0005795126435951598,0.3566666666666667
15594,0.031200000000000006,0.00010512851637331074,0.011946918660165728,0.08052817416933188,0.0027887429985404073,0.21649337701182167
15595,0.01,6.252832348836034e-06,0.004118943680324838,0.045812275303226443,0.000720186847276833,0.445993031358885
15596,0.017,6.013942411558181e-05,0.007763649814764628,0.043304964231119264,0.009089343727381231,0.17915417915417917
15597,0.0284,5.764584184095586e-05,0.01174205133930939,0.08277969434516728,0.004504575313261535,0.2524314765694076
15599,0.005200000000000001,1.1244713647545834e-06,0.0017037476313173094,0.012375723136545516,0.0007281317312212331,0.33986928104575165
15600,0.018600000000000002,2.1006917681414544e-05,0.0067485806004177196,0.05506117361358284,0.005242516014689981,0.31782265144863914
15601,0.0048000000000000004,5.66664082378982e-06,0.0017037476313173094,0.015602257534841953,0.004440258071819028,0.41830065359477125
15604,0.005600000000000001,1.7933153702381229e-06,0.0019045702065152437,0.018687901482393264,0.004987964220546113,0.5263157894736842
15605,0.0164,3.5441112683819634e-05,0.006951430854372331,0.04820386301108981,0.0014589776875235877,0.189648033126294
15608,0.0102,5.533635779000353e-06,0.0034133095173229933,0.038038097086482606,0.006643370744877094,0.5294117647058824
15610,0.0132,1.0365162201772985e-05,0.005432043077715942,0.04103790040865504,0.001034687825686489,0.26666666666666666
15611,0.0098,4.179336623310114e-06,0.0030105350056146563,0.017997772069280243,0.0021690848278568117,0.2946236559139785
15613,0.0096,4.193320816681414e-06,0.0043207357284889,0.053805212550023934,0.00038176030368189645,0.36469344608879495
15619,0.0016,8.971513748303866e-07,0.0007008408969193525,0.0016259118750016812,0.00021715650343392392,0.4642857142857143
15625,0.0048000000000000004,1.2160297042164852e-06,0.002205955063729892,0.0258520031904111,0.0003438653428099788,0.40711462450592883
15628,0.0008,1.9639134573401496e-07,0.0004003602842119758,0.004117710969859601,0.0002890530265726387,0.6
15648,0.0026,3.59490279372039e-07,0.0011017625556131172,0.01182219183869183,0.00021312345045867087,0.3787878787878788
15649,0.002,0.0,0.0008010412093559793,0.005228358527201955,0.00043604340910744345,0.3888888888888889
15657,0.0036,7.458751039730317e-07,0.0013023438542085763,0.00892349883136051,0.00044471075621225944,0.32967032967032966
15679,0.0064,5.110779971880768e-06,0.002909891886128557,0.026784668456654528,0.0001581077034747548,0.35172413793103446
15681,0.0022,1.513739736126841e-07,0.0009012615859320672,0.004691002447796704,0.0001439181237841078,0.6222222222222222
15682,0.0008,0.0,0.00030024016811047716,0.0009690541885059604,0.0006597241348739892,0.5
15704,0.0048000000000000004,9.951361573591255e-06,0.0021054733039971296,0.016717295488072006,0.0005220193600963696,0.2554112554112554
15718,0.0004000000000000001,0.0,0.00020014008604940514,0.0010984632702459541,0.0,0.6666666666666666
15720,0.005600000000000001,9.734754827259564e-06,0.002205955063729892,0.008140589275215595,0.0008778123935398076,0.20553359683794467
15738,0.0302,0.00012360237101722855,0.011127946677811584,0.08019822101438882,0.007178757685466199,0.2429156429156429
15740,0.0006000000000000001,0.0,0.00030024016811047716,0.0005309747555947838,0.0,0.8333333333333334
15742,0.0006000000000000001,0.0,0.00030024016811047716,0.002418875385294039,0.0,0.6666666666666666
15746,0.0108,9.580358384094146e-06,0.005128715471710565,0.05167005489808807,0.00021915887390169472,0.332579185520362
15748,0.0036,3.909973155977207e-06,0.001503005530002266,0.007529364455700691,0.0007041149145563653,0.21666666666666667
15752,0.0012,0.0,0.0005005004403684232,0.00199383472096531,0.00015162561783509153,0.4
15754,0.0008,6.558523605217567e-09,0.00030024016811047716,0.0033018351867689522,8.235386382816749e-05,0.6666666666666666
15755,0.0024000000000000002,2.099209475911822e-06,0.0011017625556131172,0.01202822389413594,0.00013608902787312345,0.36363636363636365
15764,0.0058000000000000005,4.363466000326636e-06,0.0020050116869441137,0.007331435242009731,0.0007063229423928471,0.23333333333333334
15771,0.002,0.0,0.0009012615859320672,0.008862883544872966,0.00013493303237034084,0.4
15775,0.0122,5.056640212246982e-05,0.0048255707952091775,0.015308897168567096,0.0028502842453973333,0.13945578231292516
15776,0.004600000000000001,1.5081310631493498e-06,0.0019045702065152437,0.021255257676461036,0.0004739904122319803,0.5947368421052631
15777,0.006000000000000001,1.5553031709077385e-06,0.0027086662147308704,0.033223319718347064,0.00014838654318875496,0.42328042328042326
15779,0.0054,0.0,0.0021054733039971296,0.01697591136673862,0.001223707831607329,0.3939393939393939
15781,0.015600000000000001,3.2397609568889575e-05,0.006241812275992631,0.044532730120427924,0.0035712402983865826,0.26216077828981055
15783,0.017,5.075795834756608e-05,0.006951430854372331,0.033979084334660126,0.0038317093872468067,0.16273291925465838
15784,0.0048000000000000004,4.853008609559711e-07,0.002205955063729892,0.0230821475585254,8.003983734876938e-05,0.3241106719367589
15787,0.0028,0.0,0.0013023438542085763,0.016663762644887344,0.00020715782955519073,0.3956043956043956
15790,0.0108,1.3067684320686633e-05,0.004219829569195754,0.03133377759018685,0.0007598136600646895,0.2868217054263566
15791,0.0078000000000000005,9.39562880532007e-06,0.0030105350056146563,0.014129612214709476,0.0010337651844715711,0.24731182795698925
15793,0.0034000000000000002,1.7784396116653696e-06,0.0014026646419362798,0.009519149859539108,0.0001980242199976142,0.37142857142857144
15800,0.0012,0.0,0.0006006606425976724,0.007992789800800572,0.0,0.5714285714285714
15801,0.030600000000000002,5.685315247837475e-05,0.012049383430229765,0.08342311395013308,0.0032398618500863695,0.27086834733893556
15811,0.0016,3.4122260589470413e-07,0.0007008408969193525,0.006312188542839214,3.151395858679365e-05,0.5
15819,0.002,0.0,0.0010015020326745727,0.013152272064158425,0.0,0.5272727272727272
15824,0.0032,0.0,0.0012020431607797644,0.004484091614252617,0.0005810383320089483,0.23076923076923078
15825,0.0018,0.0,0.0008010412093559793,0.013517099135074873,8.140870770867133e-05,0.5833333333333334
15826,0.0074,8.419322496986798e-06,0.0028092689578591568,0.01897041243083068,0.0006821576528267813,0.3226600985221675
15835,0.025200000000000004,3.826991049345727e-05,0.011025668357958152,0.09212398287237221,0.002083637594407469,0.2693911592994162
15837,0.0036,0.0,0.0014026646419362798,0.006955590868650094,0.00039891777177332563,0.29523809523809524
