src,dst,probability
4,1035,0.014925373134328358
4,1037,0.008928571428571428
4,80,0.003952569169960474
4,1040,0.021739130434782608
4,2670,0.002325581395348837
4,182,0.014705882352941176
4,42,0.003816793893129771
4,1042,0.0070921985815602835
4,739,0.02
4,145,0.024390243902439025
4,147,0.007692307692307693
4,1525,0.013333333333333334
4,148,0.017857142857142856
4,9634,0.045454545454545456
4,393,0.007575757575757576
4,1503,0.0009727626459143969
4,1057,0.022727272727272728
4,1343,0.01639344262295082
4,44,0.003076923076923077
4,45,0.012658227848101266
4,81,0.0022675736961451248
4,301,0.0010741138560687433
4,1348,0.0196078431372549
4,402,0.005649717514124294
4,186,0.008
4,1069,0.043478260869565216
4,901,0.005714285714285714
4,1355,0.021739130434782608
4,1532,0.043478260869565216
4,1357,0.005
4,47,0.010638297872340425
4,750,0.002369668246445498
4,48,0.008695652173913044
4,1945,0.016129032258064516
4,6103,0.07692307692307693
4,1093,0.014492753623188406
4,8338,0.07142857142857142
4,50,0.0072992700729927005
4,1478,0.005434782608695652
4,759,0.003472222222222222
4,4252,0.017543859649122806
4,606,0.022727272727272728
4,2456,0.02127659574468085
4,253,0.004347826086956522
4,51,0.006944444444444444
4,1104,0.010752688172043012
4,4493,0.01818181818181818
4,1952,0.0196078431372549
4,9648,0.08333333333333333
4,2469,0.03225806451612903
4,4256,0.014705882352941176
4,9649,0.0625
4,3963,0.024390243902439025
4,1486,0.04
4,339,0.004366812227074236
4,158,0.00819672131147541
4,9656,0.020833333333333332
4,86,0.007874015748031496
4,211,0.0024937655860349127
4,891,0.005376344086021506
4,1959,0.006134969325153374
4,213,0.0017793594306049821
4,1142,0.037037037037037035
4,2285,0.038461538461538464
4,459,0.0018656716417910447
4,5980,0.017241379310344827
4,57,0.007874015748031496
4,306,0.006172839506172839
4,88,0.001451378809869376
4,2647,0.037037037037037035
4,89,0.006060606060606061
4,308,0.00423728813559322
4,2515,0.0035587188612099642
4,2035,0.022727272727272728
4,9672,0.020833333333333332
4,63,0.004219409282700422
4,484,0.006896551724137931
4,9673,0.1
4,161,0.006289308176100629
4,491,0.018867924528301886
4,492,0.004219409282700422
4,677,0.001272264631043257
4,1982,0.005434782608695652
4,816,0.004149377593360996
4,1286,0.004672897196261682
4,1884,0.017857142857142856
4,9682,0.0625
4,322,0.002207505518763797
4,355,0.014705882352941176
4,2739,0.0136986301369863
5,2,0.0045871559633027525
5,26,0.0028011204481792717
