node,ic_mean,ic_std
43876,3.58,7.993972729500646
43892,8.775,38.10176341063495
44041,5.165,7.868149401225169
44287,14.825,36.8869133297976
44377,8.975,52.717495909802096
44445,9.65,14.64334319750787
44499,9.925,32.644591818553955
44611,8.985,26.075942456601638
44620,15.82,40.23204692779128
44693,12.095,28.56301761018958
44714,7.64,11.839358090707451
44737,16.63,31.726693808211408
45462,10.78,23.40131620229939
45713,3.43,10.3065561658587
45793,2.305,2.410803807861602
45831,3.355,9.062503793102655
46040,7.785,17.64196063367108
46158,28.17,71.18561020318643
46319,3.06,10.08148798541168
46328,17.315,62.45210785073631
46344,4.095,17.1824321619496
46535,16.63,49.03767021382644
46795,10.365,29.904209987893008
46919,8.735,17.514416204943856
47003,5.44,11.569200490958742
47335,22.48,45.736523698243616
47517,12.355,47.89591814549544
47656,6.235,20.544336810907282
47768,1.725,3.131992177512581
48050,6.57,14.307868464589685
48143,3.99,11.791518138051606
48167,3.475,12.68894696182469
48357,16.595,35.728713592851335
48634,8.625,16.969513104388117
48673,3.345,8.837758482782837
48786,8.685,32.937907872237425
48915,3.905,16.74144483012144
48954,13.74,32.268442788582156
48998,1.48,1.923434428307864
49004,28.86,81.30461487517175
49007,45.855,71.74108986487451
49093,64.725,99.04952990802127
49125,22.11,68.18627354534048
49610,5.275,18.22112441645685
49772,1.325,0.9430668056930008
49865,11.94,26.353299603654946
50176,4.495,11.380684294013257
50179,6.145,20.61198619735614
50325,9.785,21.770134932976415
50373,9.705,37.412003087244614
50598,27.2,77.11971213639221
50617,9.865,30.510109390167713
50693,2.985,4.9633431273688915
50814,2.905,9.129401678094792
50848,7.62,29.118646946587333
50887,11.52,36.79958695420371
50925,30.15,67.88319011360618
50973,5.15,21.737007613744815
51169,21.105,56.51605059626867
51235,17.615,51.43925325080059
51257,11.15,30.82267833917098
51260,3.15,11.133620255783828
51430,8.28,21.488638858708573
52285,33.4,63.63128161525587
52447,6.305,16.023169942305422
52627,22.485,60.19177497798183
52802,6.91,25.935726324897864
53000,7.53,22.678163505892623
53015,16.995,21.46939624209307
53701,4.595,12.265438231062111
53741,7.51,14.029251583744587
53784,4.695,6.689691696931931
54264,1.97,5.456106670511493
54723,6.725,33.03830163613136
55380,5.285,23.283336852779502
55757,5.76,21.946580599264205
55822,5.295,13.7879648607037
56285,18.795,69.02356825751622
56340,29.765,58.18728190077278
56352,20.33,36.82432755665744
56476,7.19,19.822055897408827
57360,14.6,27.491453217318288
57812,15.495,41.121162130951504
58221,5.63,23.515380073475317
58328,9.24,41.723283667515915
58466,4.105,10.506853715551578
58503,5.315,26.480479130861664
58630,8.88,40.40229696440538
58794,2.195,5.317609895432345
59584,2.995,9.74037858607149
59790,5.725,29.908015230034906
60457,8.17,16.64274917193671
60821,2.515,1.4141340106227553
61199,9.465,18.642928283936513
61959,3.405,18.580123115846142
62125,7.425,24.098638447016047
62591,12.41,37.39079967050718
63129,2.295,5.757427811097591
63474,11.11,30.087337868279405
63525,8.17,46.292019830636036
63579,5.84,17.045069668382116
63789,4.12,15.92374327851338
64073,11.22,36.40963608716791
64371,4.53,23.14258196485431
64591,5.74,37.49069751284976
64851,6.99,44.267368342832405
64934,7.04,27.025698880880025
65610,1.035,0.1837797594948911
65746,3.095,11.282994948150957
65762,18.43,62.48755956188399
65912,6.145,31.258342486446725
66073,4.095,11.406838957397444
66105,6.245,40.07037527900132
66473,8.18,21.48389164001718
66505,8.96,24.001008312152223
67125,5.97,18.522124608154435
67347,1.235,1.956981093419147
67470,1.27,2.6186064996482368
67476,7.595,44.688823826545274
67647,17.52,51.67261944202171
67721,1.71,1.8857094155781267
67747,17.725,32.94555167241854
68644,19.025,53.58082096235555
68878,12.385,42.209320949287964
69245,9.425,14.291059267947915
70035,11.915,28.880058431381336
70275,21.885,55.161868849777015
70375,4.62,7.997224518543918
70865,1.015,0.12155245781143219
71279,3.29,11.500256518878176
71665,10.13,29.615419970008865
72329,26.03,70.82287130581476
73195,2.015,2.7721426730960292
73264,2.35,2.763602721087096
73366,18.465,39.21694499830399
73994,11.9,55.698563715772785
74581,17.085,42.4124719274885
75040,1.715,1.9959396283455069
75104,16.96,40.176590198771216
75548,26.29,49.36320390736403
76405,12.98,47.694335093384
76500,7.17,33.341432182796225
76670,1.915,8.299263521542137
76771,3.24,12.623486047839558
76825,17.03,33.69687077459864
76834,15.87,43.73720498614423
76960,2.055,0.22798026230356
77086,22.54,48.00602462191594
78175,2.42,3.991691370835175
78297,3.99,8.046732256015483
78455,7.15,24.120893432872673
79869,7.57,20.667730886577754
80298,16.74,33.641527908226756
80687,1.18,1.3666016244685206
81181,27.715,59.39110855170157
81480,1.93,4.00812923943328
81842,8.105,22.748713699899604
81925,6.215,15.51414757568072
81941,23.625,60.65430219695879
82507,3.725,10.534200254409445
82804,10.96,33.764898933655935
83261,3.99,9.577572761404634
83284,22.28,72.86152345374067
83297,3.53,12.595995395362769
83362,1.71,4.283211412013188
83393,26.51,65.2454588458078
83519,24.44,53.91452865415778
84474,1.61,2.9322175908346235
84831,3.335,19.47877755404584
85143,12.275,33.17045937276118
85147,21.695,40.053988253356245
85173,5.505,13.96388108657475
85208,3.625,3.484878046646683
85586,1.11,0.7601973427998813
86039,8.83,27.012795116388826
87012,5.535,12.460689186397357
87071,9.67,35.189502696116634
87208,8.325,9.155292185397471
87330,14.435,29.50552109351739
87598,3.02,10.785620056352808
88045,21.915,30.597022322441774
88136,12.95,43.55901169677752
88238,11.345,27.35993375357477
88359,1.51,1.526400995806803
88387,4.41,19.19874735497085
88819,5.92,14.553473812117845
89299,4.17,14.76587620156691
89428,8.0,31.097105974672306
89445,2.03,6.563467071601717
89730,7.555,29.566822199891547
89738,2.075,8.004334763114295
89809,2.275,3.070728740869177
90640,9.62,27.371254994976024
91362,12.13,27.865266910618313
91969,10.325,29.40083969889296
92114,3.17,11.143208694088074
92221,32.11,77.42672600594707
92389,1.7,1.3892443989449805
92548,1.955,3.1659082425111444
92846,11.11,38.284172970040764
92894,17.345,51.620983863153945
93057,9.815,44.43479239289861
93219,7.185,25.41497147352324
93220,16.65,36.18352525666895
93326,34.885,56.0232253177198
93644,6.33,27.175376722319783
93876,2.7,6.037383539249432
94243,17.185,57.31283255083455
94872,4.32,23.833958966147442
